cuisine,id,value,name,nevalue,nvalue
American (traditional),qAORECtABjr_FsvSzy1apw,39,Smashburger,9.46372549,6.0657277
American (traditional),SgTjnyElc26gPUghVuCuSQ,51,Keegan's Grill & Taproom Foothills,12.40490196,7.981220657
American (traditional),fgVwzwERnAicqg38PawxsA,19,Applebee's,4.561764706,2.873239437
American (traditional),YJJx6rYfHQtmBd3qq-Lcbw,9,Whataburger,2.110784314,1.276995305
American (traditional),rVUEZpHQfWI_3kt0lBwaxQ,63,Keegan's Grill,15.34607843,9.896713615
American (traditional),0RqNRc6RiILzZxK9J8Kqug,51,Red Robin Gourmet Burgers,12.40490196,7.981220657
American (traditional),AVUpq52fSE9q3v9tO-i_3g,22,The Fry Bread House,5.297058824,3.352112676
American (traditional),v96aR__oKt2aqT-azpcA6A,5,Phoenix All-stars Sports Bar & Grill,1.130392157,0.638497653
American (traditional),0MQ3inDAuiq43TN9hw_Rbw,3,Sonic Drive-In,0.640196078,0.319248826
American (traditional),Sodko0hlMg7F5doNJGKcWQ,59,Claim Jumper,14.36568627,9.258215962
American (traditional),oCA2OZcd_Jo_ggVmUx3WVw,251,Alice Cooper'stown,61.4245098,39.90610329
American (traditional),k6PuJ964NF2NEoXoOg0ijA,30,Caps Sports Grill,7.257843137,4.629107981
American (traditional),Jj7bcQ6NDfKoz4TXwvYfMg,28,Fuddruckers,6.767647059,4.309859155
American (traditional),pk0vem-ismpPnVeTIG0Q5g,5,Applebee's Neighborhood Grill & Bar,1.130392157,0.638497653
American (traditional),2B0pIRjAt64mFMV-2ZRCfg,3,Arby's Roast Beef,0.640196078,0.319248826
American (traditional),IW-NYIHk50mXV5Nz7nSGyw,33,Zipps Sports Grill,7.993137255,5.107981221
American (traditional),N-hmuPPHrTxDA_pQXgt9zQ,11,O Bar & Grill,2.600980392,1.596244131
American (traditional),8jTAfGcJMLs9VNcG4dndNQ,31,LongHorn Steakhouse,7.502941176,4.788732394
American (traditional),Lk-FP6yxYRTcU52SaTx2EA,12,Cactus Jack's Bar & Grill,2.846078431,1.755868545
American (traditional),0Jouvs4G3d6CcG3pYGZ20A,12,Lunch Box,2.846078431,1.755868545
American (traditional),ykKSshfa9ANCZCuvM2LaWg,82,Culver's,20.00294118,12.92957746
American (traditional),JW6fDZOuUKtJyZGeldh0xA,18,Chestnut Lane,4.316666667,2.713615023
American (traditional),fDZzCjlxaA4OOmnFO-i0vw,157,The Oink Cafe,38.38529412,24.90140845
American (traditional),g4y3_YqR4jmfCP9K0TzxrQ,9,Marcel's,2.110784314,1.276995305
American (traditional),kvyYxHukGKi2ILJvDrLMsg,2,The Raven Grill,0.395098039,0.159624413
American (traditional),oaakO-X7uOXNxqsxjDSKfg,101,Half Moon Sports Grill,24.65980392,15.96244131
American (traditional),UUssRgBCO_riWg3chbv9Zg,61,Satisfied Frog On Bell,14.85588235,9.577464789
American (traditional),wRWakw2wXmMEAe9FW9w1Pg,34,Native Grill and Wings,8.238235294,5.267605634
American (traditional),bbiV-lPmRaK_gjzE77x_jA,8,South Bank Grill,1.865686275,1.117370892
American (traditional),IURIbkgQgHXAgwX6hAgiNQ,107,Gertrude's,26.13039216,16.92018779
American (traditional),2xczXFsc4GeilxL8B8R3Vg,26,Whataburger,6.27745098,3.990610329
American (traditional),YUMvB8pA2yfVeAouAHzn7g,3,Denny's,0.640196078,0.319248826
American (traditional),5QOitecMgPwjT8RbUAQdig,8,Red Lobster,1.865686275,1.117370892
American (traditional),v48aS-Z-nw6o9qsHdHz8zA,68,Logan's Roadhouse,16.57156863,10.69483568
American (traditional),gQjTs4BDNYSu9oJhkEsssw,40,Lone Star Steakhouse,9.708823529,6.225352113
American (traditional),Lo0dRIDKXc5mlE-coVZrtQ,80,Chloe's Corner,19.5127451,12.61032864
American (traditional),5XU8ys_TsulI-FJ5nzuNvg,66,U.S. Egg,16.08137255,10.37558685
American (traditional),SfrBXbRdNB_gqPkIgJyKCg,13,Bitter Creek Cafe,3.091176471,1.915492958
American (traditional),aqD66Sve2mE4cq021LWQmA,5,Segal's Oasis Grill,1.130392157,0.638497653
American (traditional),0nGjXTpUtpIJl10PL0eBGg,120,Breakfast Club,29.31666667,18.99530516
American (traditional),JbJDlfcnYiyZRXeHQcAVjg,73,Raising Cane's,17.79705882,11.49295775
American (traditional),2I666dqzs1XB6xigIKa9bA,44,Tom's Tavern & 1929 Grill,10.68921569,6.863849765
American (traditional),VFjeCLwVMguUNWH-DeOgyw,36,Fox News Sky Box,8.728431373,5.58685446
American (traditional),qdI9KaRhOzaJRK0dvGUSaw,21,Coco's Family Restaurant,5.051960784,3.192488263
American (traditional),GVUtuBmDdvXxXtjrvHHJnQ,11,The Flight Line Bar and Grill,2.600980392,1.596244131
American (traditional),3Zsjlum5kl5N5KV712aTMQ,149,Different Pointe of View,36.4245098,23.62441315
American (traditional),fG3yJmDXfSU8eW8HY1K3aQ,7,Whataburger,1.620588235,0.957746479
American (traditional),pAHUC05ceak48e745i6G4g,207,Paradise Valley Burger Company,50.64019608,32.88262911
American (traditional),fsQFHGMbqWf7MT6KYMuJxQ,8,Boston Market,1.865686275,1.117370892
American (traditional),cIwMq5KNq0ASQzoTP1dE9Q,12,Boston Market,2.846078431,1.755868545
American (traditional),r8CwFUEQtL8gAT9KHnNhuw,75,Teakwoods Tavern & Grill,18.2872549,11.81220657
American (traditional),oIXw9z-OuDlMDKUBPRny2w,53,Uncle Bear's Brewhouse Grill,12.89509804,8.300469484
American (traditional),YSQnaRE4Le6CaonZICFyVQ,2,Chili's Grill and Bar,0.395098039,0.159624413
American (traditional),aZFihxH7QGWeIXw8uw_xDg,11,Hooters,2.600980392,1.596244131
American (traditional),U-uTG4ofQoaCGGY5MVsJsA,18,LongHorn Steakhouse,4.316666667,2.713615023
American (traditional),zj0BkAi54BGU_AK6AyvJDQ,151,Rusconi's American Kitchen,36.91470588,23.94366197
American (traditional),t1ahkb3p7HsSC7sLkrcMfQ,18,Olive & Ivy Marketplace,4.316666667,2.713615023
American (traditional),t_0576Esa58pcLHCEpj31A,119,Steve's Grill,29.07156863,18.83568075
American (traditional),#NAME?,23,Chili's Too,5.542156863,3.511737089
American (traditional),DDnmNTvIIQu2t3WZ2EQx-w,193,Sierra Bonita Grill,47.20882353,30.64788732
American (traditional),nts2OALwvyvfNh9focRZ3w,216,Hillside Spot,52.84607843,34.31924883
American (traditional),SgGINtDKQgoXoAnQgrDKDg,38,Native New Yorker,9.218627451,5.906103286
American (traditional),Q5diW79GD0MSJ10j1HCf8Q,4,TGI Friday's,0.885294118,0.478873239
American (traditional),tfVKzEDu8XYyP8KO1dsNvQ,82,Two Hippies Gnarly Burger Joint,20.00294118,12.92957746
American (traditional),uflQ_lKBfS6WknNlm_HK8g,14,Sizzler,3.33627451,2.075117371
American (traditional),MiajUnwoG7RGoaolO1rPaw,76,Ranch House Grille,18.53235294,11.97183099
American (traditional),AaTC0a1gQ8Q6VJ6HQLYllg,3,Madi G's,0.640196078,0.319248826
American (traditional),QXWXLEVGeONoZHLmHuFemQ,11,Sonic Drive-In,2.600980392,1.596244131
American (traditional),NkGQRN6ahwQoFEAlHq8NHg,40,Blue 32 Sports Grill,9.708823529,6.225352113
American (traditional),8FNO4D3eozpIjj0k3q5Zbg,42,Deer Valley Airport Restaurant,10.19901961,6.544600939
American (traditional),Ane4XcpP7aWzhjd8SGiciQ,38,Red Robin Gourmet Burgers,9.218627451,5.906103286
American (traditional),MU3i2uEyUBntebU6pEyMbw,40,McCormick & Schmicks Seafood Restaurant,9.708823529,6.225352113
American (traditional),VuPhv9CNIHLOzS2JeDwLOA,2,Waffle House,0.395098039,0.159624413
American (traditional),EmlgWjs1ZzZEpDjZCSPLmw,270,AMC Dine-in Theatres Esplanade 14,66.08137255,42.93896714
American (traditional),mPMw_JxSRjzPXVdTjWmV6Q,3,Whataburger,0.640196078,0.319248826
American (traditional),Vz-PukBDv5j1UDOYbMbb1w,26,Ruby Tuesday,6.27745098,3.990610329
American (traditional),vYvT8J9uEh4Fqt7f9ILKlA,36,Azool Grill,8.728431373,5.58685446
American (traditional),63cjAsO1jXvrwvjkUiEkVA,16,Casey Jones Grill,3.826470588,2.394366197
American (traditional),gkv2XvXpFgiq4Bb2XK7YmQ,69,Hard Rock Cafe,16.81666667,10.85446009
American (traditional),fmpEjlZhFlMHaGmsKJlUTg,27,The Other Q Bar and Grill,6.52254902,4.150234742
American (traditional),9UgwLTF5mSf9ip2xEYYy2g,14,Ironworks Restaurant,3.33627451,2.075117371
American (traditional),FqzgT9Y-Yu7jiWdHnGW-kQ,372,The Vig,91.08137255,59.22065728
American (traditional),MXOdsPTLQPsQK9hUq01DWg,219,Arcadia Tavern,53.58137255,34.79812207
American (traditional),qkhzmBKShH9QQwh16hMxQw,10,JB's Restaurant,2.355882353,1.436619718
American (traditional),z3zcsnK26QhC7TqDX73zvA,44,Black Angus Steakhouse,10.68921569,6.863849765
American (traditional),GDeu_BPyb4PBDZSv1J9-6A,7,On Deck Sports Grill,1.620588235,0.957746479
American (traditional),hzUOqxpcnYYBgLlrgvjQYQ,40,Applebee's,9.708823529,6.225352113
American (traditional),hvaOgvC3F9b0G1eefGlzNQ,29,Thunderbird Roadhouse,7.012745098,4.469483568
American (traditional),cjFDprdEXbDDdraONMy5Pg,42,Pete's Fish And Chips,10.19901961,6.544600939
American (traditional),0OjN8M62r8cJhSF1mGfsdg,4,Sonic Drive-In,0.885294118,0.478873239
American (traditional),QG4qmOPBgNigdI4cUYhKJg,21,Native New Yorker,5.051960784,3.192488263
American (traditional),m4Gw2d0_iWE3kyDhNtD0-g,38,Wingettes,9.218627451,5.906103286
American (traditional),UScgPn6pIHuOmQJTsZQIOg,148,Corbin Bar & Grill,36.17941176,23.46478873
American (traditional),GjvIDOEhdQB1oPrFeSpxBw,65,Gordon Biersch,15.83627451,10.21596244
American (traditional),CNS4j16dzLWDPEV-UM9SLg,12,Jackalope Flats,2.846078431,1.755868545
American (traditional),gPCUIvpMCXVDRqszO8v69w,23,SpoonZ Cafe,5.542156863,3.511737089
American (traditional),1ulwCamdqoX-SdMTcOhHDw,14,The Courtyard Cafe,3.33627451,2.075117371
American (traditional),y7A3nmvqtyfEysI9nGUiOA,14,Legends Sports Bar & Restaurant,3.33627451,2.075117371
American (traditional),lnX2gaGdO0fNtykyFrp1AA,26,Mel's Diner,6.27745098,3.990610329
American (traditional),avvNnkpGpGIS-2CClsduXA,10,Rimrock Bar & Grille,2.355882353,1.436619718
American (traditional),oUpVWZv6Sa62wTkkS7V7qQ,5,Trails End Bar & Grill,1.130392157,0.638497653
American (traditional),F-ykHfGY9lWr12OJ_Ofy7A,50,Gallagher's Sports Grill,12.15980392,7.821596244
American (traditional),KwnYw_cLsYkUPA6ZUmqsYQ,3,Devil's Greens,0.640196078,0.319248826
American (traditional),PdWe3jF9YEu5fWBiQXZIgg,72,Dave & Buster's,17.55196078,11.33333333
American (traditional),iAYzRvyBrSkJDu_XZ-E1zQ,45,Fast Eddie's Diner,10.93431373,7.023474178
American (traditional),2cMWbJvpxgmSAWoRQzcNIA,5,Bistro 202,1.130392157,0.638497653
American (traditional),cTyBfWfmgL3vgRetyfmtyA,8,Sport Peppers Grill,1.865686275,1.117370892
American (traditional),C37jakxE5TX6ccAfjp2kJA,4,Nixon's,0.885294118,0.478873239
American (traditional),0kZ4aYmqf5fzTt9Yvz8Kvw,24,Waffle House,5.787254902,3.671361502
American (traditional),JxgoluY8hnC34cys_f80xA,15,Deemos American Grill,3.581372549,2.234741784
American (traditional),RUjaYACMwyQ2R7_Lz4p8Yg,20,North 51 Grill,4.806862745,3.03286385
American (traditional),wn7GiuOQ_0VrPXNc1wVTDA,18,Fatburger,4.316666667,2.713615023
American (traditional),D7uAJToqGk1hQxfZDO5ijg,9,Belvedere American Bar & Grill,2.110784314,1.276995305
American (traditional),2r8jGeuYvMkyP2ik_X-Bxw,120,The Cheesecake Factory,29.31666667,18.99530516
American (traditional),bKr2DfxkmVNSWM2ZrjMT_A,17,Golden Corral,4.071568627,2.55399061
American (traditional),691w3FIZWH7cz3IYGor5Ag,23,Cafe Aroma,5.542156863,3.511737089
American (traditional),Xta0mTpGJWC2yi6kiQm_vg,37,Melrose Kitchen,8.973529412,5.746478873
American (traditional),#NAME?,49,Mimi's Cafe,11.91470588,7.661971831
American (traditional),oJ1xS-B6FJis_8_jdMBPLQ,3,Chili's Grill & Bar,0.640196078,0.319248826
American (traditional),Lm4rjgZlTtLfsriICKdD8A,20,Game Seven Grill,4.806862745,3.03286385
American (traditional),FOfhEC6rN23RQaUlsR2byw,109,The Melting Pot,26.62058824,17.23943662
American (traditional),YWDfUAPwScdW_9GmGskkZg,1,Coppers Sports Grill,0.15,0
American (traditional),3E_toMWSUCuhRJzG1eml8Q,50,Smashburger,12.15980392,7.821596244
American (traditional),KqsvvlzoJH3TUrk_vlbcsQ,35,Harem Lounge,8.483333333,5.427230047
American (traditional),Y9D61SRDiTAYJeaVbqvbFg,113,Wolfley's Neighborhood Grill,27.60098039,17.87793427
American (traditional),QdbZyl-LWFS54u93Vjd5SA,135,The Capital Grille,32.99313725,21.38967136
American (traditional),PSAK5sUss8yiN7Q_72Zlxw,8,Boston Market,1.865686275,1.117370892
American (traditional),8SoWH_iOdZD1OvebCwJUbg,13,Dennys,3.091176471,1.915492958
American (traditional),CuLdSn4wFwog-z2OMSwBCQ,26,Skunk Creek Flats,6.27745098,3.990610329
American (traditional),NX5YHSIyesufcsI7Rg5NLg,38,Mimi's Cafe,9.218627451,5.906103286
American (traditional),7LGjM8HKJTwqfYU3C7N_0w,50,Rico's American Grill,12.15980392,7.821596244
American (traditional),O-ylVyHn6e6kaoJO-jHj-w,43,Hole-in-the-Wall,10.44411765,6.704225352
American (traditional),G4ZZHlp6CdYBZOirW2_PQA,128,Tilted Kilt Pub & Eatery,31.27745098,20.27230047
American (traditional),ixTr1qXUFGTzyaZUuCDDvg,18,Whataburger,4.316666667,2.713615023
American (traditional),4SwDarJGXaUPGv8QpmpHxQ,4,Ruby Tuesday,0.885294118,0.478873239
American (traditional),oIkwj10HmUiognO68j7jOg,108,Kona Grill,26.3754902,17.07981221
American (traditional),sspvIv6br3Vto2s5JkeiMw,10,Dick Clark's Bar and Grill,2.355882353,1.436619718
American (traditional),OmxAvtMyIvCVm16NFIOOUA,19,TGI Friday's,4.561764706,2.873239437
American (traditional),WoJrHOtrQ5R4jx80GwlnxA,17,Swensen's Grill &  Ice Cream Parlor,4.071568627,2.55399061
American (traditional),E_wJCQ9L_0w5tJyrvr0lJQ,45,First Watch,10.93431373,7.023474178
American (traditional),QlEU-1VCqJbTzSf8mFAZUg,13,Desert Springs Brewing Company,3.091176471,1.915492958
American (traditional),4uvdld7zvWk05RZuI9rDPA,18,Bill Johnson's Big Apple Restaurants,4.316666667,2.713615023
American (traditional),SZvYxcvYYVRue9MXcEDjsA,18,Coco's Family Restaurant,4.316666667,2.713615023
American (traditional),4WcxnNv_lzCIG2eb8O5Mlg,7,The Brickhouse,1.620588235,0.957746479
American (traditional),xmjv8g356v8Qo55ICjG8rg,106,CK's Tavern & Grill,25.88529412,16.76056338
American (traditional),A-ZhvQa5A-XSqZB3HH6TVw,5,Sonic Drive-In,1.130392157,0.638497653
American (traditional),#NAME?,7,Charlie D's Catfish & Chicken,1.620588235,0.957746479
American (traditional),M2Dw6a9MSIFUtVO3bF2ckw,17,Chili's Grill & Bar,4.071568627,2.55399061
American (traditional),XWvht_1ZLdK7EHJ3jo4q0g,355,The White Chocolate Grill,86.91470588,56.50704225
American (traditional),vBDVxjMtXzZ8GUhV-1L3Jw,27,Chili's Grill & Bar,6.52254902,4.150234742
American (traditional),0xWF7PpTNl-awqg2YGxxFQ,20,IHOP,4.806862745,3.03286385
American (traditional),mqQwChPNN4o4DhAzaGntIA,171,The Fry Bread House,41.81666667,27.13615023
American (traditional),1LSxfyNIUFbQb-Ej0FDGTw,50,Mimi's Cafe,12.15980392,7.821596244
American (traditional),2RxIERKZi5gjLW76MkFotQ,48,40th Street Cafe,11.66960784,7.502347418
American (traditional),yLfYR-PvIzAv9DnEH68Rgw,8,The Bamboo Club,1.865686275,1.117370892
American (traditional),2VU7F1oqCxpVPVlvpwvacw,42,Barfly,10.19901961,6.544600939
American (traditional),F5vKD7ajS69CwuFyBVxA_g,5,Boston Market,1.130392157,0.638497653
American (traditional),Y1jkxceoqE5LrTL5eqPXsA,10,Euro Grill,2.355882353,1.436619718
American (traditional),PejTHpMkh8sJZGdGaZuPpw,20,Applebee's,4.806862745,3.03286385
American (traditional),r9sGMJ084n4IS9eGmlCKjg,90,Feeney's Restaurant and Bar,21.96372549,14.20657277
American (traditional),j_Id-xnaHfyJRV5FlciYhA,15,Smashburger,3.581372549,2.234741784
American (traditional),jWuPCzdyM21_mBMwBhcXag,3,City Hall Grill,0.640196078,0.319248826
American (traditional),JB9zRTOKSS1ApkF1T7_khw,9,Mid City Kitchen,2.110784314,1.276995305
American (traditional),4FS5otEktCyI1aDpg_h03g,95,Kincaid's Classic American Dining,23.18921569,15.00469484
American (traditional),TuCAYZ89lP_s6D7Y78xNhQ,134,Smashburger,32.74803922,21.23004695
American (traditional),VFRfBYycuieR56jZ6dgVeg,16,Yoasis Ahwatukee,3.826470588,2.394366197
American (traditional),W41CEzdKJe8wdDB-Rd6KJQ,15,Breakroom Bar & Grill,3.581372549,2.234741784
American (traditional),5ipAMcjec7GH7tztXYLTgQ,9,IHop,2.110784314,1.276995305
American (traditional),XMVetdmE2IzMcRbvjhVFnQ,5,Arizona Club,1.130392157,0.638497653
American (traditional),hBodj_f6adUAnEVUb_he_A,2,Turk's Fish and Chips,0.395098039,0.159624413
American (traditional),reMYkuDhLk4raAviOFtvOQ,46,Lenny's Burger Shop,11.17941176,7.183098592
American (traditional),CqhsIZ7TzCfJTrZqg5-gqQ,122,Armadillo Grill,29.80686275,19.31455399
American (traditional),cXx-fHY11Se8rFHkkUeaUg,40,16th Street Sports Bar & Grill,9.708823529,6.225352113
American (traditional),qsWxbgQwuomXvMseg23DGg,58,Hooters,14.12058824,9.098591549
American (traditional),cjUmPLRT43wN9Z87A9BOpg,34,Applebee's,8.238235294,5.267605634
American (traditional),hNVcBhJSD5HyLKMf_Z7TaA,37,Islands Restaurant,8.973529412,5.746478873
American (traditional),#NAME?,8,Wendy's Old Fashioned Hamburgers,1.865686275,1.117370892
American (traditional),vFJmFFfPVhHkC3bWOeZnNA,45,Casey Jones Grill,10.93431373,7.023474178
American (traditional),77tMP3nG9TH0rrhf6G4g6A,4,Lager Fields' Micropub and Grill,0.885294118,0.478873239
American (traditional),ziaSXim-Om_a62V7X0GSpQ,9,A-Town Grill & Eatery,2.110784314,1.276995305
American (traditional),5GpvSL1tlAjpgdJKZ5eLpg,51,Texas Roadhouse,12.40490196,7.981220657
American (traditional),ksD6Pv6wOocscrEMqfnYbA,15,The DawgFather Grill,3.581372549,2.234741784
American (traditional),HQFscafV3wi5z4yOKdUGRg,86,5th Avenue Cafe,20.98333333,13.56807512
American (traditional),tb24fvNJfHhyKEXkKn12Xw,167,Welcome Diner,40.83627451,26.49765258
American (traditional),immAndhZ-o1qrlFrIw8YjQ,9,Village Inn,2.110784314,1.276995305
American (traditional),#NAME?,9,Stonegrill,2.110784314,1.276995305
American (traditional),qz4ZOcv-840UjfCEYI4qZg,53,Jt's Bar & Grill,12.89509804,8.300469484
American (traditional),GAPqG0WNBBidKeZTMpEZ-w,139,Local Breeze,33.97352941,22.02816901
American (traditional),hMd49yw32d7I0Kk1ZIOeXg,4,Arby's Roast Beef,0.885294118,0.478873239
American (traditional),MLcXtnpzygZvQ9BtseLLlw,168,Farm At South Mountain,41.08137255,26.657277
American (traditional),w7SrsFV4FL04bhQr-B6-4w,66,Raising Cane's,16.08137255,10.37558685
American (traditional),JImJictLIE48_O1z-l2TGw,30,Wagon Yard,7.257843137,4.629107981
American (traditional),Upru5VE0jZ81ZQVVNCK_uA,4,Sonic Drive-In,0.885294118,0.478873239
American (traditional),kjZJsF1juY_pTOw_A8Ve6w,24,Chili's Grill & Bar Catering,5.787254902,3.671361502
American (traditional),K4VHuqUFwc4eeC8LkMLyTA,18,Waffle House,4.316666667,2.713615023
American (traditional),BcuFT-gQj6Epl56ZAWJIdA,12,ZeeZ Grill,2.846078431,1.755868545
American (traditional),s_cKw6m0Fw9jZbobRH0YSg,40,Rock Bottom Restaurant & Brewery,9.708823529,6.225352113
American (traditional),A0c5KmspCG9TMOZkjLWaTA,1,Johnny's Uptown,0.15,0
American (traditional),GTVneiUeIyRL8Wa_WmEQ0g,14,Whataburger,3.33627451,2.075117371
American (traditional),45puCRQ6Vh_IIAy7kkfFDQ,135,Majerle's Sports Grill,32.99313725,21.38967136
American (traditional),ot4Of_A9onKHoVt4XU7v5g,3,Sonic Drive-In,0.640196078,0.319248826
American (traditional),nckQIGiiUxztAQ2Boo6Tlw,5,Ocotillo Sun,1.130392157,0.638497653
American (traditional),XBpxFy0h7KE-GtKuCX2JQw,6,Sonic Drive-In,1.375490196,0.798122066
American (traditional),JzKG_Upd49TVOneDmesELw,2,Monroe's Downtown,0.395098039,0.159624413
American (traditional),uMxfxbqT27XDeU9UTXeErg,161,Bootleggers Modern American Smokehouse,39.36568627,25.5399061
American (traditional),OE7RmfGvpvSEv4g3xDKfSw,128,Chelsea's Kitchen,31.27745098,20.27230047
American (traditional),5WQhLNpG6xZryVCla4gMRA,17,Fry's Food Store,4.071568627,2.55399061
American (traditional),aNuyJOFNrb-d71amzPpxlw,52,Twin Peaks,12.65,8.14084507
American (traditional),K-FzqJUj6YpSLC_fyJRnlA,5,Coco's Family Restaurant,1.130392157,0.638497653
American (traditional),-1bOb2izeJBZjHC7NWxiPA,68,First Watch,16.57156863,10.69483568
American (traditional),__etvGuL2dh_a1LOT0gNYQ,38,Big Guy's Sports Grill,9.218627451,5.906103286
Italian,r3r_bAfa6pZKIhQB82FizQ,102,PastaBAR,14.11989652,16.12206573
Italian,kxDGexkbP30fBvxVI0CzFQ,80,Stumpys Pizza,11.01547507,12.61032864
Italian,p1sX2UVxEjPzd92LtP3c4g,43,Angie & Jimmie's Italian Pizza,5.794402634,6.704225352
