cuisine,name,value,nvalue
Italian,La Fontanella Restaurant,51,7.981220657
Italian,La Grande Orange,119,18.83568075
Italian,La Piazza Locale,61,9.577464789
Italian,La Piccola Cucina,91,14.36619718
Italian,L'amore,44,6.863849765
Italian,Le Ragazze,20,3.03286385
Italian,Luke's of Chicago's,87,13.72769953
Italian,Mamma Mia Brick Oven Pizza & Pasta,155,24.58215962
Italian,Meatballz,30,4.309859155
Italian,Miami Cafe,11,1.596244131
Italian,Michelina's Ristorante Costa Campagnia,24,3.671361502
Italian,My Pie,76,11.97183099
Italian,Neapolitan Wood Fired Italian,26,3.990610329
Italian,Nellos Pizza,74,11.65258216
Italian,Nick's,72,11.33333333
Italian,noca,272,43.25821596
Italian,Nook,104,16.44131455
Italian,North Italia,233,37.03286385
Italian,NYPD Pizza,106,16.76056338
Italian,Olive Garden Italian Restaurant,124,19.15492958
Italian,Oregano's Pizza Bistro,325,51.55868545
Italian,Our Family's Bistro,22,3.352112676
Italian,Palermos Pizza,8,1.117370892
Italian,Pane Bianco,308,49.00469484
Italian,Papa Christo's,16,2.394366197
Italian,Papa John's Pizza,7,0.798122065
Italian,Pasta and Sugo,13,1.915492958
Italian,Pasta Pomodoro,4,0.478873239
Italian,PastaBAR,102,16.12206573
Italian,Pat's Pizza Plus,62,9.737089202
Italian,Peter Piper Pizza,14,2.075117371
Italian,Pezzano's Pizza,36,5.58685446
Italian,Phoenix House Of Pizza And Subs,9,1.276995305
Italian,Picazzo's Organic Italian Kitchen,80,12.45070422
Italian,Pino's Pizza Al Centro,107,16.92018779
Italian,Pizza a Metro,210,33.36150235
Italian,Pizza by Napoli,40,6.225352113
Italian,Pizza Heaven Bistro,118,18.67605634
Italian,Pizza Hut,4,0.478873239
Italian,Pizza Mia,10,1.436619718
Italian,Pizza People Food Truck,30,4.629107981
Italian,Pizzeria Bianco,1243,198.0938967
Italian,Pomo Pizzeria Napoletana,208,33.04225352
Italian,Postino Arcadia,797,127.0610329
Italian,Postino Central,512,81.56807512
Italian,Pronto Pizza,3,0.319248826
Italian,Raffaele's Pizza,47,7.342723005
Italian,Raimondo's,14,2.075117371
Italian,Ray's Pizza,14,2.075117371
Italian,Red Devil,129,20.27230047
Italian,Red Tomato,5,0.638497653
Italian,Rinaldi's Italian Deli,34,5.267605634
Italian,Ristorante Tuscany,17,2.55399061
Italian,Rkidds Pizza & Wings,11,1.596244131
Italian,Roma Garden Ristorante,88,13.88732394
Italian,Romano's Macaroni Grill,100,15.48356808
Italian,Rosati's Pizza,47,7.342723005
Italian,Ruffino Italian Cuisine,50,7.821596244
Italian,Salute Ristorante Italiano,45,7.023474178
Italian,Sam's Chicago Style Pizza & Wings,12,1.755868545
Italian,Sano Brick Pizza,16,2.394366197
Italian,Sardella's Pizza & Wings,41,6.384976526
Italian,Sauce - Pizza & Wine,49,7.661971831
Italian,Sauce Pizza & WIne,60,9.417840376
Italian,Sauce,67,10.53521127
Italian,SOLO Trattoria,100,15.8028169
Italian,Spasso Pizza & Mozzarella Bar,35,5.427230047
Italian,Spinato's Pizza,349,55.23004694
Italian,Spinato's Pizzeria,139,22.02816901
Italian,Streets of New York,174,26.33802817
Italian,Stumpys Pizza,80,12.61032864
Italian,That Italian Place,5,0.638497653
Italian,That's Italiano,7,0.957746479
Italian,The Italian Spoon,4,0.478873239
Italian,The Old Spaghetti Factory,166,26.33802817
Italian,The Parlor,591,94.17840376
Italian,The Skinny Italian Kitchen,35,5.427230047
Italian,The Strand,103,16.28169014
Italian,Times Square Pizzeria,148,23.46478873
Italian,Tomaso's,52,8.14084507
Italian,Tommy V's Osteria and Pizzeria,37,5.746478873
Italian,Tony Pizzeria Italian Restaurant,7,0.957746479
Italian,Tony's Italian Delicatessen,12,1.755868545
Italian,Trattoria Bianco,4,0.478873239
Italian,Tutti Santi by Nina,77,12.1314554
Italian,Uncle Tony's Pizza,19,2.873239437
Italian,Upper Crust Pizza,186,29.53051643
Italian,Va Bene,108,17.07981221
Italian,Villa Italia Ristoranti,8,1.117370892
Italian,Vincent's Famous Pizza & Restaurant,15,2.234741784
Italian,Vincent's,58,9.098591549
Italian,Zella's Pizza And Cheesesteaks,4,0.478873239
Chinese,101 Asian Buffet,34,5.267605634
Chinese,A A Wok,5,0.638497653
Chinese,Abacus Inn Chinese Restaurant,13,1.915492958
Chinese,Abacus Inn,38,5.906103286
Chinese,Asia Lee Chinese Restaurant,28,4.309859155
Chinese,Asian Cafe,24,3.671361502
Chinese,Asian Seafood Buffet,10,1.436619718
Chinese,Autumn Court Chinese Restaurant,77,12.1314554
Chinese,Bamboo China Restaurant,19,2.873239437
Chinese,Bamboo Grille,30,4.629107981
Chinese,Bamboo House,55,8.61971831
Chinese,Beijing Beijing,4,0.478873239
Chinese,Beijing Garden Chinese,20,3.03286385
Chinese,Best Wok Buffet,10,1.436619718
Chinese,Big Heng,10,1.436619718
Chinese,Canton Dragon,10,1.436619718
Chinese,Canton Wong #2,2,0.159624413
Chinese,Canton Wong #8,24,3.671361502
Chinese,Canton Wong,10,1.436619718
Chinese,Chen & Wok,79,12.29107981
Chinese,Chen Wok Express,20,3.03286385
Chinese,China Buffet 2000,3,0.319248826
Chinese,China Buffet,4,0.478873239
Chinese,China Chan Restaurant,33,5.107981221
Chinese,China Chili,198,31.44600939
Chinese,China City Super Buffet,10,1.436619718
Chinese,China Garden Restaurant,13,1.915492958
Chinese,China Harvest Buffet,19,2.873239437
Chinese,China Inn,3,0.319248826
Chinese,China Olive,5,0.638497653
Chinese,China Restaurant,21,3.192488263
Chinese,China Star Super Buffet,10,1.436619718
Chinese,China Super Buffet,3,0.319248826
Chinese,China Village,34,5.267605634
Chinese,Chinese Gourmet Buffet,6,0.798122066
Chinese,Chino Bandido,572,91.14553991
Chinese,Chop Chop Chinese Kitchen,2,0.159624413
Chinese,COFCO Chinese Culture Center,33,5.107981221
Chinese,Crown China Super Buffet,18,2.713615023
Chinese,Dao Kitchen Asian Bistro,32,4.948356808
Chinese,Desert Jade,91,14.36619718
Chinese,Diamond's Chinese Restaurant,46,7.183098592
Chinese,Dragon Bowl,23,3.511737089
Chinese,Dragon Chinese Restaurant,12,1.755868545
Chinese,Dragon Island Chinese Restaurant,15,2.234741784
Chinese,Dragon Palace,72,11.33333333
Chinese,Eastern Buffet,7,0.957746479
Chinese,E-Z Buffet,22,3.352112676
Chinese,Fate 905,78,12.29107981
Chinese,Flamingo Palace,77,12.1314554
Chinese,Flo's Shanghai Cafe,7,0.957746479
Chinese,Garden Express,3,0.319248826
Chinese,George and Sons,51,7.981220657
Chinese,Go Go China,23,3.511737089
Chinese,Golden Bowl Chinese Food,6,0.798122066
Chinese,Golden Buddha,112,17.71830986
Chinese,Golden China,12,1.755868545
Chinese,Golden Coin,11,1.596244131
Chinese,Golden Moon Palace Restaurant,7,0.957746479
Chinese,Golden Nugget Chinese Buffet,3,0.319248826
Chinese,Golden Panda,6,0.798122066
Chinese,Golden Phoenix Chinese Restaurant,43,6.704225352
Chinese,Golden Wok Chinese Restaurant,25,3.830985915
Chinese,Good China Restaurant,23,3.511737089
Chinese,Gourmet House of Hong Kong,64,10.05633803
Chinese,Great China Super Buffet,13,1.915492958
Chinese,Great Dragon Restaurant,11,1.596244131
Chinese,Great Wall Buffet Two Corporation,8,1.117370892
Chinese,Great Wall Buffet,19,2.873239437
Chinese,Great Wall Cuisine,140,22.18779343
Chinese,Great Wok,37,5.746478873
Chinese,Hao Bao,27,4.150234742
Chinese,Happy Food,16,2.234741784
Chinese,Hibachi Grill & Supreme Buffet,57,8.779342723
Chinese,Hong Kong Chinese Cuisine,10,1.436619718
Chinese,Hong Kong Express Chinese Food,3,0.319248826
Chinese,Hong Kong Express,17,2.55399061
Chinese,Hong Kong Gourmet Buffet,82,12.92957746
Chinese,Hong Kong Kitchen 3,13,1.915492958
Chinese,Hong Kong Restaurant,24,3.671361502
Chinese,Hsin Cafe,28,4.309859155
Chinese,Imperial Garden Chinese Buffett,3,0.319248826
Chinese,International House of Food,17,2.55399061
Chinese,Iron Chef,100,15.8028169
Chinese,Jade Fine Chinese Dining,8,1.117370892
Chinese,Jumbo Buffet,24,3.671361502
Chinese,King Wong Chinese Food,46,7.183098592
Chinese,Kwan & Wok Chinese Restaurant,14,2.075117371
Chinese,Lao Ching Hing,38,5.906103286
Chinese,Lim's Chinese Buffet,16,2.394366197
Chinese,Lim's Chinese Restaurant,13,1.915492958
Chinese,Ling and Louie's Kitchen,36,5.58685446
Chinese,Lin's Golden Chinese Restaurant,9,1.276995305
Chinese,Li's Bowl,57,8.938967136
Chinese,Little Dragon Chinese Restaurant,12,1.755868545
Chinese,Little Peking,25,3.830985915
Chinese,Little Shanghai,31,4.788732394
Chinese,Liyuen,5,0.638497653
Chinese,Long Wong's Restaurant,43,6.704225352
Chinese,Lucky Kitchen,35,5.427230047
Chinese,Marcia's Long Wongs,7,0.957746479
Chinese,Maxim Restaurant,99,15.64319249
Chinese,May Garden Restaurant,11,1.596244131
Chinese,Ming's Pagoda,25,3.830985915
Chinese,Mister Wong,20,3.03286385
Chinese,Mr Chao's Asian Bistro,33,5.107981221
Chinese,Mu Shu Asian Grill,61,9.577464789
Chinese,Nee House Chinese Restaurant,99,15.64319249
Chinese,New Asian Kitchen,41,6.384976526
Chinese,New China Buffet,8,1.117370892
Chinese,New China Super Buffet,36,5.58685446
Chinese,New King Wah Chinese Buffet,7,0.957746479
Chinese,New Sun Star Super Buffet,6,0.798122066
Chinese,Ninja Bowl,9,1.276995305
Chinese,Noodle & Rice,77,12.1314554
Chinese,North China Restaurant,20,3.03286385
Chinese,Oriental Express,21,3.192488263
Chinese,P F Chang's China Bistro,66,10.37558685
Chinese,Pacific Gardens,41,6.384976526
Chinese,Pan Asia Sushi Chinese Fusion,78,12.29107981
Chinese,Panda Express,104,14.20657277
Chinese,Panda Garden,36,5.58685446
Chinese,Panda Gourmet,4,0.478873239
Chinese,Pei Wei Asian Diner,168,26.17840376
Chinese,Pei Wei Asian Market,50,7.821596244
Chinese,Pei Wok,12,1.755868545
Chinese,Peter Wong Chinese Restaurant,8,1.117370892
Chinese,Pick Up Stix,20,2.713615023
Chinese,Pink Lotus Express,17,2.55399061
Chinese,Pong Pong,23,3.511737089
Chinese,Red Dragon Chinese and Mexican Food,4,0.478873239
Chinese,Red Wok Buffet,36,5.58685446
Chinese,Rice To You,10,1.436619718
Chinese,Royal Buffet,4,0.478873239
Chinese,Segal's Oasis Grill,5,0.638497653
Chinese,Shanghai Buffet,53,8.300469484
Chinese,Shanghai Express,6,0.798122066
Chinese,Shangri-La Chinese,34,5.267605634
Chinese,Sing High Chop Suey House,53,8.300469484
Chinese,Siu Wok,70,11.01408451
